# n   m1        m2        m3        m4        m5        m6        m7        m8
4    0.000004  0.000004  0.000004  0.000024  0.000020  0.000021  0.000005  0.000021
8    0.000005  0.000006  0.000004  0.000025  0.000020  0.000032  0.000004  0.000023
12   0.000004  0.000013  0.000004  0.000035  0.000023  0.000020  0.000005  0.000023
16   0.000004  0.000108  0.000005  0.000049  0.000024  0.000022  0.000005  0.000021
20   0.000004  0.001484  0.000004  0.000062  0.000023  0.000021  0.000005  0.000024
24   -         0.030184  0.000004  0.000071  0.000023  0.000022  -         0.000022
28   -         0.347914  0.000004  0.000080  0.000027  0.000022  -         0.000023
32   -         4.823219  0.000004  0.000093  0.000027  0.000027  -         0.000022
36   -         71.793388 0.000004  0.000118  0.000030  0.000018  -         0.000035
40   -         1094.654823 0.000004  0.000115  0.000029  0.000024 -        0.000025
44   -         -         0.000004  0.000130  0.000034  0.000024  -         0.000023
48   -         -         0.000004  0.000138  0.000033  0.000025  -         0.000023
52   -         -         0.000004  0.000151  0.000039  0.000024  -         0.000024
56   -         -         0.000005  0.000196  0.000039  0.000025  -         0.000026
60   -         -         0.000005  0.000174  0.000056  0.000026  -         0.000024
64   -         -         -         0.000186  0.000070  0.000029  -         0.000025
